﻿Post Id,Post URL,Page Id,Created Time,Type,Message,Reactions Like Total,Reactions Love Total,Reactions Wow Total,Reactions Haha Total,Reactions Sorry Total,Reactions Anger Total,Comments,Shares,Impressions,Engaged Fan,Link,Total Reactions
1692583127699872_1512069050931679,https://facebook.com/1692583127699872_1512069050931679,1692583127699872,13 Jun 2026 11:00:00 AM,photo,"En El Salvador hay negocios que todavía pierden ventas porque no tienen cómo cobrar con tarjeta. ?️ Eso tiene solución y está más cerca de lo que crees.
? www.qpaypro.com",0,1,0,0,0,1,0,0,226,,https://www.facebook.com/photo.php?fbid=1512069030931681&set=a.504567235015204&type=3,2
1692583127699872_1511110454360872,https://facebook.com/1692583127699872_1511110454360872,1692583127699872,12 Jun 2026 10:01:27 AM,video,"Conoce nuestro nuevo POS en El Salvador ??
#pos #ventas #tiendafisica",1,0,0,0,0,1,0,0,452,,https://www.facebook.com/reel/2970351420023585/,2
1692583127699872_1510488714423046,https://facebook.com/1692583127699872_1510488714423046,1692583127699872,11 Jun 2026 04:00:00 PM,photo,La plataforma más completa de Guate ?? ¡Compruébalo  hoy! ?,2,1,0,0,0,1,0,0,251,,https://www.facebook.com/photo.php?fbid=1510488697756381&set=a.504567235015204&type=3,4
1692583127699872_1509359727869278,https://facebook.com/1692583127699872_1509359727869278,1692583127699872,10 Jun 2026 10:00:27 AM,video,"¿Sabías que ya contamos con miles de tiendas en línea activas en Guatemala y El Salvador? ???? Tu tienda abierta 24/7, con pedidos, pagos y seguimiento en un solo lugar. Empieza en https://zurl.co/NyHoZ

#tiendaenlinea #ventas #pasareladepagos",2,0,0,0,0,1,0,0,304,,https://www.facebook.com/reel/2803423156687979/,3
1692583127699872_1508750701263514,https://facebook.com/1692583127699872_1508750701263514,1692583127699872,09 Jun 2026 06:00:00 PM,photo,"Mientras dormías, alguien quería comprarte. ¿Tu tienda estaba lista? ? La tuya puede estarlo siempre.
? www.qpaypro.com",1,0,0,0,0,1,0,0,211,,https://www.facebook.com/photo.php?fbid=1508750664596851&set=a.504567235015204&type=3,2
1692583127699872_1506910584780859,https://facebook.com/1692583127699872_1506910584780859,1692583127699872,07 Jun 2026 05:00:00 PM,photo,"No todos los negocios funcionan igual y sus herramientas tampoco deberían. ? En Qpaypro tienes todas las opciones, tú eliges la que más te conviene.
? www.qpaypro.com",4,0,0,0,0,1,0,0,269,,https://www.facebook.com/photo.php?fbid=1506910541447530&set=a.504567235015204&type=3,5
1692583127699872_1505073058297945,https://facebook.com/1692583127699872_1505073058297945,1692583127699872,05 Jun 2026 05:40:29 PM,video,"Nuestros clientes ya no persiguen transferencias ni pagos pendientes ? Con QPayPro envías un link, tu cliente paga con tarjeta y tú recibes tu dinero. Así de simple. 
#ventas #whatsapp #emprendimiento",4,0,0,0,0,1,0,0,374,,https://www.facebook.com/reel/1712249819788816/,5
1692583127699872_1503849635086954,https://facebook.com/1692583127699872_1503849635086954,1692583127699872,04 Jun 2026 10:25:04 AM,album,"Seguimos normalizando procesos que nos hacen perder tiempo y dinero. ? Hay una forma mejor y es más fácil de lo que piensas. ⚡
? www.qpaypro.com",2,0,0,0,0,1,0,0,240,,https://www.facebook.com/504840204987907/posts/1503849635086954,3
1692583127699872_1502865695185348,https://facebook.com/1692583127699872_1502865695185348,1692583127699872,03 Jun 2026 09:00:42 AM,video,"¿Tienes un servicio mensual? Ya contamos con cientos de negocios, escuelas y académias que automatizaron sus cobros con QPayPro ⚡ Menos tiempo persiguiendo pagos, más tiempo creciendo. Empieza hoy en qpaypro.com

#mensualidad #suscripciones #automatizacion",4,0,0,0,0,1,0,0,381,,https://www.facebook.com/reel/898827083240302/,5
1692583127699872_1502226948582556,https://facebook.com/1692583127699872_1502226948582556,1692583127699872,02 Jun 2026 05:30:00 PM,photo,"Mandar recordatorios, esperar respuesta, volver a preguntar... ?‍? Eso no es administrar un negocio, eso es desgaste. Hay una mejor forma.
? www.qpaypro.com",5,0,0,0,0,1,0,1,347,,https://www.facebook.com/photo.php?fbid=1502226925249225&set=a.504567235015204&type=3,6
1692583127699872_1501024948702756,https://facebook.com/1692583127699872_1501024948702756,1692583127699872,01 Jun 2026 10:37:33 AM,album,"¿Sabías que nuestros links de pagos son rápidos, fáciles y seguros. ? ¡Comienza ahora! ?",6,1,0,0,0,1,0,2,447,,https://www.facebook.com/504840204987907/posts/1501024948702756,8
1692583127699872_1499414208863830,https://facebook.com/1692583127699872_1499414208863830,1692583127699872,30 May 2026 07:00:32 PM,video,"¿Tienes tienda en Shopify? Ya contamos con cientos de tiendas integradas a QPayPro en Guatemala ?️ En minutos activas los pagos con tarjeta y empiezas a vender más. Sin código, sin complicaciones. 
#shopify #ventasonline #paginaweb",7,0,0,0,0,1,0,1,603,,https://www.facebook.com/reel/3328057527395581/,8
1692583127699872_1497281809077070,https://facebook.com/1692583127699872_1497281809077070,1692583127699872,28 May 2026 10:00:25 AM,video,"Ahora cobrar con tarjeta en bazares, ferias y eventos es tan fácil con tu QR.",3,0,0,0,0,1,0,0,440,,https://www.facebook.com/reel/1294184086206377/,4
1692583127699872_1485217356950182,https://facebook.com/1692583127699872_1485217356950182,1692583127699872,14 May 2026 08:43:49 PM,link,??,3,0,0,0,0,1,1,0,456,,https://l.facebook.com/l.php?u=https%3A%2F%2Fempresarialperiodismo.blogspot.com%2F2026%2F05%2Fqpaypro-la-pasarela-que-impulsa-el.html&h=AUCuSSRMJc0CKP8dXWGXhejPMsVoF7aEqU2R4vparsl19ROkh24ObbRmBkPxq85MoH7xQ-31_xsqiBxYla-YAbI76m-8JMWyoiRtwhtVmNM2gn3svJAOEgR2j8dcbOCj&s=1,4
1692583127699872_1485079576963960,https://facebook.com/1692583127699872_1485079576963960,1692583127699872,14 May 2026 04:05:08 PM,album,"✨ ¡Qué inspiradora fue la historia que compartimos ayer! ??

Gracias a todos los participantes por acompañarnos . Y un agradecimiento especial a Ana Cecilia por compartir su experiencia personal y profesional, dejando valiosas enseñanzas para todos. ?",3,1,0,0,0,1,0,0,448,,https://www.facebook.com/504840204987907/posts/1485079576963960,5
1692583127699872_1482303347241583,https://facebook.com/1692583127699872_1482303347241583,1692583127699872,11 May 2026 12:38:22 PM,photo,Aún estás a tiempo de participar en nuestro próximo Taller Historias que venden.??. Enlace de inscripción en enlace de nuestra bio.,1,0,0,0,0,1,0,0,497,,https://www.facebook.com/photo.php?fbid=1482303327241585&set=a.504567235015204&type=3,2
1692583127699872_1481364587335459,https://facebook.com/1692583127699872_1481364587335459,1692583127699872,10 May 2026 11:02:03 AM,video,"Feliz Día a las mamás que aman, cuidan y nunca se rinden.
#diadelamadre #emprendedora #mama",4,0,0,0,0,1,1,0,538,,https://www.facebook.com/reel/910470032035029/,5
1692583127699872_1479856704152914,https://facebook.com/1692583127699872_1479856704152914,1692583127699872,08 May 2026 07:10:03 PM,album,"Si aún no tienes el regalo de mamá, aún estás a tiempo, te compartimos esta guía de regalos ?✨ #díadelamadre #emprendimientos",2,1,0,0,0,1,0,1,605,,https://www.facebook.com/504840204987907/posts/1479856704152914,4
1692583127699872_1479568594181725,https://facebook.com/1692583127699872_1479568594181725,1692583127699872,08 May 2026 10:19:04 AM,video,Ser mamá es amar. Conoce mas sobre @maria_belen_coach,2,0,0,0,0,1,0,0,489,,https://www.facebook.com/reel/4422261954729896/,3
1692583127699872_1478963464242238,https://facebook.com/1692583127699872_1478963464242238,1692583127699872,07 May 2026 05:45:16 PM,video,?,8,0,0,0,0,1,0,0,836,,https://www.facebook.com/reel/957325983677746/,9
1692583127699872_1477894064349178,https://facebook.com/1692583127699872_1477894064349178,1692583127699872,06 May 2026 10:14:46 AM,video,Detrás de cada marca exitosa hay una estrategia. Conoce la historia de @byanaceci,3,0,0,0,0,1,0,2,456,,https://www.facebook.com/reel/1904526983551236/,4
1692583127699872_1477283601076891,https://facebook.com/1692583127699872_1477283601076891,1692583127699872,05 May 2026 04:27:13 PM,video,"Detrás de cada emprendedora, hay una mamá que le enseño a no rendirse. Conoce la historia de @afectogt",4,0,0,0,0,1,1,0,507,,https://www.facebook.com/reel/991666126703916/,5
1692583127699872_1476233231181928,https://facebook.com/1692583127699872_1476233231181928,1692583127699872,04 May 2026 10:24:16 AM,album,"??‍?Nuestras emprendedoras, aprendieron de sus propias madres. Conoce la Historia de Ana Lucia y Lalúh. ?",0,1,0,0,0,1,1,0,406,,https://www.facebook.com/504840204987907/posts/1476233231181928,2
1692583127699872_1474608138011104,https://facebook.com/1692583127699872_1474608138011104,1692583127699872,02 May 2026 12:04:48 PM,video,Detrás de cada emprendimiento hay una madre poderosa. ?➡️Conoce la historia de  Lalúh?,2,1,0,0,0,1,0,0,408,,https://www.facebook.com/reel/1543981657050054/,4
1692583127699872_1473017874836797,https://facebook.com/1692583127699872_1473017874836797,1692583127699872,30 Apr 2026 04:54:32 PM,photo,¡No te pierdas de nuestro próximo encuentro! Con nuestra emprendedora @anaceciliaguerra de @byanaceci ✨✨,0,0,0,0,0,1,0,0,398,,https://www.facebook.com/photo.php?fbid=1473017861503465&set=a.504567235015204&type=3,1
1692583127699872_1471974571607794,https://facebook.com/1692583127699872_1471974571607794,1692583127699872,29 Apr 2026 12:00:29 PM,video,La diferencia entre una empresa que crece y una que solo gasta. En El Salvador ya se cobra como un PRO ??,1,0,0,0,0,1,0,0,322,,https://www.facebook.com/reel/1259731162993169/,2
1692583127699872_1467360542069197,https://facebook.com/1692583127699872_1467360542069197,1692583127699872,24 Apr 2026 10:00:23 AM,video,Herramientas gratuitas que harán mas pro tu negocio,5,0,0,0,0,1,0,0,242,,https://www.facebook.com/reel/35435614386052135/,6
1692583127699872_1465862655552319,https://facebook.com/1692583127699872_1465862655552319,1692583127699872,22 Apr 2026 03:00:34 PM,video,¿ Tu negocio es grande en El Salvador? ?? que tu forma de cobrar también lo sea.,6,0,0,0,0,1,0,0,453,,https://www.facebook.com/reel/1555073879371947/,7
1692583127699872_1465102932294958,https://facebook.com/1692583127699872_1465102932294958,1692583127699872,21 Apr 2026 05:03:05 PM,photo,"¿Una idea sin capital puede llegar a 90K seguidores? Ana Ceci lo hizo. ? 

Ven a escuchar su historia en #HistoriasQueVenden

? 13 mayo · 8:30 a.m.
? AGEXPORT, zona 13
?️ Inscripción : https://zurl.co/8Ly5V",2,0,0,0,0,1,0,0,514,,https://www.facebook.com/photo.php?fbid=1465102872294964&set=a.504567235015204&type=3,3
1692583127699872_1464095295729055,https://facebook.com/1692583127699872_1464095295729055,1692583127699872,20 Apr 2026 11:27:00 AM,photo,"? Existen mucha historias, pero muy pocas... Historias que  Venden.✨

?? Save the date  13.05.2026",4,1,0,0,0,1,0,0,367,,https://www.facebook.com/photo.php?fbid=1464095259062392&set=a.504567235015204&type=3,6
1692583127699872_1460673296071255,https://facebook.com/1692583127699872_1460673296071255,1692583127699872,16 Apr 2026 08:30:00 AM,photo,Hoy celebramos a todos los emprendedores. Aquellos que inspiran a otros a ser más grandes ✨,4,0,0,0,0,1,1,1,533,,https://www.facebook.com/photo.php?fbid=1460673162737935&set=a.504567235015204&type=3,5
1692583127699872_1460110136127571,https://facebook.com/1692583127699872_1460110136127571,1692583127699872,15 Apr 2026 05:30:23 PM,video,"Ahora más fácil que nunca, cobra en segundos con nuestro POS",5,2,0,0,0,1,1,0,471,,https://www.facebook.com/reel/3495499160625579/,8
